dataset,regime,seed,tag,epoch,split,family,bank,partition,within_cvar_mean,within_cvar_weighted,worst_cell_cvar,worst_cell_mean_loss,worst_cell_mean_acc,oracle_wg_acc
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,conf_init_wpl,B,0,2.362878638630112,2.535376824895541,11.671009540557861,1.3591624659460944,0.8108108108108109,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,conf_init_wpl,B,0,2.474836078161995,2.653942576110363,12.218751192092896,1.7802909629212484,0.7777777777777778,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,conf_teacher_wpl,A,0,1.3050382683674493,1.3117741060256958,3.7141927083333335,0.7786099751790364,0.7,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,conf_teacher_wpl,A,0,1.5734737280290574,1.5764691267684101,6.186316967010498,1.091318578489365,0.6666666666666666,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,conf_teacher_wpl,A,0,1.497748976262907,1.502847481995821,4.973307291666667,0.7798154731591542,0.7,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,conf_teacher_wpl,A,0,1.7532945200024794,1.761250107459724,7.326263427734375,0.9596072316169739,0.7666666666666667,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,conf_teacher_wpl,A,0,1.8577676301356407,1.8611644455865026,7.623143672943115,1.0493967858227817,0.7272727272727273,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,conf_teacher_wpl,A,0,1.6958465315401554,1.7028552591502666,6.17578125,0.8556297216564417,0.7272727272727273,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,conf_teacher_wpl,A,0,2.397128405747935,2.41058617926389,13.637709856033325,1.7095507681369781,0.71875,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,conf_teacher_wpl,A,0,2.1653613616557172,2.172940167106688,8.975099086761475,1.1610340033808062,0.7333333333333333,0.9305699481865285
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,conf_teacher_wpl,A,0,2.204960218708341,2.204612836815417,12.070405642191568,1.4170408686002096,0.7272727272727273,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,conf_teacher_wpl,A,0,2.3290126834375164,2.337732698723674,11.23779296875,1.563091141562308,0.7,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,conf_teacher_wpl,B,0,1.29202984025081,1.2968639857769013,3.353515625,0.6506656523673765,0.6129032258064516,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,conf_teacher_wpl,B,0,1.5562909689421456,1.5597212095558644,6.568059921264648,1.0435674171293936,0.7333333333333333,0.910880829015544
